,title,rating,director,year,runtime,age rating,image link,webpage
45,Untouchable,8.5,Olivier NakacheÉric Toledano,2011,1h 52m,15,images\Untouchable.jpg,http://www.imdb.com/title/tt1675434/
46,Modern Times,8.5,Charles Chaplin,1936,1h 27m,U,images\ModernTimes.jpg,http://www.imdb.com/title/tt0027977/
47,Once Upon a Time in the West,8.5,Sergio Leone,1968,2h 45m,AA,images\OnceUponaTimeintheWest.jpg,http://www.imdb.com/title/tt0064116/
48,Cinema Paradiso,8.5,Giuseppe Tornatore,1988,2h 35m,PG,images\CinemaParadiso.jpg,http://www.imdb.com/title/tt0095765/
49,Rear Window,8.5,Alfred Hitchcock,1954,1h 52m,A,images\RearWindow.jpg,http://www.imdb.com/title/tt0047396/
50,Alien,8.5,Ridley Scott,1979,1h 57m,X,images\Alien.jpg,http://www.imdb.com/title/tt0078748/
51,City Lights,8.5,Charles Chaplin,1931,1h 27m,U,images\CityLights.jpg,http://www.imdb.com/title/tt0021749/
52,Apocalypse Now,8.4,Francis Ford Coppola,1979,2h 27m,X,images\ApocalypseNow.jpg,http://www.imdb.com/title/tt0078788/
53,Memento,8.4,Christopher Nolan,2000,1h 53m,15,images\Memento.jpg,http://www.imdb.com/title/tt0209144/
54,Django Unchained,8.4,Quentin Tarantino,2012,2h 45m,18,images\DjangoUnchained.jpg,http://www.imdb.com/title/tt1853728/
55,Raiders of the Lost Ark,8.4,Steven Spielberg,1981,1h 55m,A,images\RaidersoftheLostArk.jpg,http://www.imdb.com/title/tt0082971/
56,WALL·E,8.4,Andrew Stanton,2008,1h 38m,U,images\WALLE.jpg,http://www.imdb.com/title/tt0910970/
57,The Lives of Others,8.4,Florian Henckel von Donnersmarck,2006,2h 17m,15,images\TheLivesofOthers.jpg,http://www.imdb.com/title/tt0405094/
58,Sunset Blvd.,8.4,Billy Wilder,1950,1h 50m,PG,images\SunsetBlvd.jpg,http://www.imdb.com/title/tt0043014/
59,Paths of Glory,8.4,Stanley Kubrick,1957,1h 28m,PG,images\PathsofGlory.jpg,http://www.imdb.com/title/tt0050825/
60,The Shining,8.4,Stanley Kubrick,1980,2h 26m,X,images\TheShining.jpg,http://www.imdb.com/title/tt0081505/
61,The Great Dictator,8.4,Charles Chaplin,1940,2h 5m,U,images\TheGreatDictator.jpg,http://www.imdb.com/title/tt0032553/
62,Avengers: Infinity War,8.4,Anthony RussoJoe Russo,2018,2h 29m,12A,images\AvengersInfinityWar.jpg,http://www.imdb.com/title/tt4154756/
63,Witness for the Prosecution,8.4,Billy Wilder,1957,1h 56m,U,images\WitnessfortheProsecution.jpg,http://www.imdb.com/title/tt0051201/
64,Aliens,8.4,James Cameron,1986,2h 17m,R,images\Aliens.jpg,http://www.imdb.com/title/tt0090605/
65,Spider-Man: Into the Spider-Verse,8.4,Bob PersichettiPeter RamseyRodney Rothman,2018,1h 57m,PG,images\SpiderManIntotheSpiderVerse.jpg,http://www.imdb.com/title/tt4633694/
66,American Beauty,8.3,Sam Mendes,1999,2h 2m,18,images\AmericanBeauty.jpg,http://www.imdb.com/title/tt0169547/
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Stanley Kubrick,1964,1h 35m,A,images\DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb.jpg,http://www.imdb.com/title/tt0057012/
68,The Dark Knight Rises,8.4,Christopher Nolan,2012,2h 44m,12A,images\TheDarkKnightRises.jpg,http://www.imdb.com/title/tt1345836/
69,Inglourious Basterds,8.3,Quentin Tarantino,2009,2h 33m,18,images\InglouriousBasterds.jpg,http://www.imdb.com/title/tt0361748/
70,Oldboy,8.4,Park Chan-wook,2003,2h,18,images\Oldboy.jpg,http://www.imdb.com/title/tt0364569/
71,Amadeus,8.4,Milos Forman,1984,2h 40m,PG,images\Amadeus.jpg,http://www.imdb.com/title/tt0086879/
72,Coco,8.4,Lee UnkrichAdrian Molina,2017,1h 45m,PG,images\Coco.jpg,http://www.imdb.com/title/tt2380307/
73,Toy Story,8.3,John Lasseter,1995,1h 21m,PG,images\ToyStory.jpg,http://www.imdb.com/title/tt0114709/
74,Braveheart,8.4,Mel Gibson,1995,2h 58m,15,images\Braveheart.jpg,http://www.imdb.com/title/tt0112573/
75,Joker,8.4,Todd Phillips,2019,2h 2m,15,images\Joker.jpg,http://www.imdb.com/title/tt7286456/
76,Das Boot,8.4,Wolfgang Petersen,1981,2h 29m,AA,images\DasBoot.jpg,http://www.imdb.com/title/tt0082096/
77,Avengers: Endgame,8.4,Anthony RussoJoe Russo,2019,3h 1m,12A,images\AvengersEndgame.jpg,http://www.imdb.com/title/tt4154796/
78,Princess Mononoke,8.3,Hayao Miyazaki,1997,2h 14m,PG,images\PrincessMononoke.jpg,http://www.imdb.com/title/tt0119698/
79,Good Will Hunting,8.3,Gus Van Sant,1997,2h 6m,15,images\GoodWillHunting.jpg,http://www.imdb.com/title/tt0119217/
80,Once Upon a Time in America,8.3,Sergio Leone,1984,3h 49m,18,images\OnceUponaTimeinAmerica.jpg,http://www.imdb.com/title/tt0087843/
81,Your Name.,8.4,Makoto Shinkai,2016,1h 46m,12A,images\YourName.jpg,http://www.imdb.com/title/tt5311514/
