,title,rating,director,year,runtime,age rating,image link,webpage
200,Dead Poets Society,8.1,Peter Weir,1989,2h 8m,PG,images\DeadPoetsSociety.jpg,http://www.imdb.com/title/tt0097165/
201,How to Train Your Dragon,8.1,Dean DeBloisChris Sanders,2010,1h 38m,PG,images\HowtoTrainYourDragon.jpg,http://www.imdb.com/title/tt0892769/
202,"Monsters, Inc.",8.1,Pete DocterDavid SilvermanLee Unkrich,2001,1h 32m,U,images\MonstersInc.jpg,http://www.imdb.com/title/tt0198781/
203,The Seventh Seal,8.1,Ingmar Bergman,1957,1h 36m,X,images\TheSeventhSeal.jpg,http://www.imdb.com/title/tt0050976/
204,Jaws,8.1,Steven Spielberg,1975,2h 4m,A,images\Jaws.jpg,http://www.imdb.com/title/tt0073195/
205,Room,8.1,Lenny Abrahamson,2015,1h 58m,15,images\Room.jpg,http://www.imdb.com/title/tt3170832/
206,The Big Lebowski,8.1,Joel CoenEthan Coen,1998,1h 57m,18,images\TheBigLebowski.jpg,http://www.imdb.com/title/tt0118715/
207,Tokyo Story,8.2,Yasujirô Ozu,1953,2h 16m,U,images\TokyoStory.jpg,http://www.imdb.com/title/tt0046438/
208,Le Mans '66,8.1,James Mangold,2019,2h 32m,12A,images\LeMans66.jpg,http://www.imdb.com/title/tt1950186/
209,The Passion of Joan of Arc,8.2,Carl Theodor Dreyer,1928,1h 50m,A,images\ThePassionofJoanofArc.jpg,http://www.imdb.com/title/tt0019254/
210,Hotel Rwanda,8.1,Terry George,2004,2h 1m,12A,images\HotelRwanda.jpg,http://www.imdb.com/title/tt0395169/
211,Rocky,8.1,John G. Avildsen,1976,2h,12,images\Rocky.jpg,http://www.imdb.com/title/tt0075148/
212,Ratatouille,8.1,Brad BirdJan Pinkava,2007,1h 51m,U,images\Ratatouille.jpg,http://www.imdb.com/title/tt0382932/
213,Platoon,8.1,Oliver Stone,1986,2h,15,images\Platoon.jpg,http://www.imdb.com/title/tt0091763/
214,Logan,8.1,James Mangold,2017,2h 17m,15,images\Logan.jpg,http://www.imdb.com/title/tt3315342/
215,Spotlight,8.1,Tom McCarthy,2015,2h 9m,15,images\Spotlight.jpg,http://www.imdb.com/title/tt1895587/
216,The Terminator,8.1,James Cameron,1984,1h 47m,18,images\TheTerminator.jpg,http://www.imdb.com/title/tt0088247/
217,Stand by Me,8.1,Rob Reiner,1986,1h 29m,15,images\StandbyMe.jpg,http://www.imdb.com/title/tt0092005/
218,Rush,8.1,Ron Howard,2013,2h 3m,15,images\Rush.jpg,http://www.imdb.com/title/tt1979320/
219,Network,8.1,Sidney Lumet,1976,2h 1m,AA,images\Network.jpg,http://www.imdb.com/title/tt0074958/
220,Before Sunset,8.1,Richard Linklater,2004,1h 20m,15,images\BeforeSunset.jpg,http://www.imdb.com/title/tt0381681/
221,The Wizard of Oz,8.1,Victor FlemingGeorge CukorMervyn LeRoy,1939,1h 42m,A,images\TheWizardofOz.jpg,http://www.imdb.com/title/tt0032138/
222,Into the Wild,8.1,Sean Penn,2007,2h 28m,15,images\IntotheWild.jpg,http://www.imdb.com/title/tt0758758/
223,The Best Years of Our Lives,8.1,William Wyler,1946,2h 50m,U,images\TheBestYearsofOurLives.jpg,http://www.imdb.com/title/tt0036868/
224,The Exorcist,8.1,William Friedkin,1973,2h 2m,X,images\TheExorcist.jpg,http://www.imdb.com/title/tt0070047/
225,Groundhog Day,8.0,Harold Ramis,1993,1h 41m,PG,images\GroundhogDay.jpg,http://www.imdb.com/title/tt0107048/
226,The Incredibles,8.0,Brad Bird,2004,1h 55m,U,images\TheIncredibles.jpg,http://www.imdb.com/title/tt0317705/
227,La haine,8.1,Mathieu Kassovitz,1995,1h 38m,15,images\Lahaine.jpg,http://www.imdb.com/title/tt0113247/
228,To Be or Not to Be,8.2,Ernst Lubitsch,1942,1h 39m,U,images\ToBeorNottoBe.jpg,http://www.imdb.com/title/tt0035446/
229,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,Gore Verbinski,2003,2h 23m,12A,images\PiratesoftheCaribbeanTheCurseoftheBlackPearl.jpg,http://www.imdb.com/title/tt0325980/
230,The Grapes of Wrath,8.1,John Ford,1940,2h 9m,A,images\TheGrapesofWrath.jpg,http://www.imdb.com/title/tt0032551/
231,Hachi: A Dog's Tale,8.1,Lasse Hallström,2009,1h 33m,U,images\HachiADogsTale.jpg,http://www.imdb.com/title/tt1028532/
232,The Battle of Algiers,8.1,Gillo Pontecorvo,1966,2h 1m,X,images\TheBattleofAlgiers.jpg,http://www.imdb.com/title/tt0058946/
233,Pather Panchali,8.2,Satyajit Ray,1955,2h 5m,U,images\PatherPanchali.jpg,http://www.imdb.com/title/tt0048473/
234,Jai Bhim,8.8,T.J. Gnanavel,2021,2h 44m,Not Rated,images\JaiBhim.jpg,http://www.imdb.com/title/tt15097216/
235,Amores perros,8.1,Alejandro G. Iñárritu,2000,2h 34m,18,images\Amoresperros.jpg,http://www.imdb.com/title/tt0245712/
236,My Father and My Son,8.2,Çagan Irmak,2005,1h 52m,PG,images\MyFatherandMySon.jpg,http://www.imdb.com/title/tt0476735/
237,John Wick: Chapter 4,8.1,Chad Stahelski,2023,2h 49m,15,images\JohnWickChapter4.jpg,http://www.imdb.com/title/tt10366206/
238,The Handmaiden,8.1,Park Chan-wook,2016,2h 25m,18,images\TheHandmaiden.jpg,http://www.imdb.com/title/tt4016934/
239,Rebecca,8.1,Alfred Hitchcock,1940,2h 10m,A,images\Rebecca.jpg,http://www.imdb.com/title/tt0032976/
240,Cool Hand Luke,8.1,Stuart Rosenberg,1967,2h 7m,A,images\CoolHandLuke.jpg,http://www.imdb.com/title/tt0061512/
241,The Sound of Music,8.1,Robert Wise,1965,2h 52m,U,images\TheSoundofMusic.jpg,http://www.imdb.com/title/tt0059742/
242,The 400 Blows,8.1,François Truffaut,1959,1h 39m,A,images\The400Blows.jpg,http://www.imdb.com/title/tt0053198/
243,It Happened One Night,8.1,Frank Capra,1934,1h 45m,A,images\ItHappenedOneNight.jpg,http://www.imdb.com/title/tt0025316/
244,Persona,8.1,Ingmar Bergman,1966,1h 25m,X,images\Persona.jpg,http://www.imdb.com/title/tt0060827/
245,Life of Brian,8.0,Terry Jones,1979,1h 34m,AA,images\LifeofBrian.jpg,http://www.imdb.com/title/tt0079470/
246,The Iron Giant,8.1,Brad Bird,1999,1h 26m,U,images\TheIronGiant.jpg,http://www.imdb.com/title/tt0129167/
247,The Help,8.1,Tate Taylor,2011,2h 26m,12A,images\TheHelp.jpg,http://www.imdb.com/title/tt1454029/
248,Aladdin,8.0,Ron ClementsJohn Musker,1992,1h 30m,U,images\Aladdin.jpg,http://www.imdb.com/title/tt0103639/
249,Dances with Wolves,8.0,Kevin Costner,1990,3h 1m,12,images\DanceswithWolves.jpg,http://www.imdb.com/title/tt0099348/
